SourceFile,AEBBracketValue,AESetting,AFAreaHeight,AFAreaWidth,AFAreaXPositions,AFAreaYPositions,AFImageHeight,AFImageWidth,AFPoint,AFPointsInFocus,Aperture,ApertureValue,AutoExposureBracketing,AutoISO,AutoRotate,BaseISO,BitsPerSample,BulbDuration,CameraISO,CameraTemperature,CameraType,CanonExposureMode,CanonFirmwareVersion,CanonFlashMode,CanonImageHeight,CanonImageSize,CanonImageType,CanonImageWidth,CanonModelID,CircleOfConfusion,ColorComponents,ColorSpace,ComponentsConfiguration,CompressedBitsPerPixel,Compression,ContinuousDrive,Contrast,ControlMode,CreateDate,CustomRendered,DateStampMode,DateTimeOriginal,DigitalZoom,DigitalZoomRatio,Directory,DisplayAperture,DriveMode,EasyMode,EncodingProcess,ExifByteOrder,ExifImageHeight,ExifImageWidth,ExifToolVersion,ExifVersion,ExposureCompensation,ExposureMode,ExposureTime,FileAccessDate,FileModifyDate,FileName,FileNumber,FilePermissions,FileSize,FileSource,FileType,FirmwareRevision,Flash,FlashBits,FlashExposureComp,FlashGuideNumber,FlashOutput,FlashpixVersion,FNumber,FocalLength,FocalLength35efl,FocalPlaneResolutionUnit,FocalPlaneXResolution,FocalPlaneXSize,FocalPlaneYResolution,FocalPlaneYSize,FocalType,FocalUnits,FocusContinuous,FocusDistanceLower,FocusDistanceUpper,FocusMode,FocusRange,FOV,HyperfocalDistance,ImageHeight,ImageSize,ImageStabilization,ImageWidth,InteropIndex,InteropVersion,ISO,Lens,Lens35efl,LensID,LensType,LightValue,MacroMode,Make,ManualFlashOutput,MaxAperture,MaxApertureValue,MaxFocalLength,MeasuredEV,MeteringMode,MIMEType,MinAperture,MinFocalLength,Model,ModifyDate,MyColorMode,NDFilter,NumAFPoints,OpticalZoomCode,Orientation,OwnerName,PrimaryAFPoint,Quality,RecordMode,RelatedImageHeight,RelatedImageWidth,ResolutionUnit,Saturation,ScaleFactor35efl,SceneCaptureType,SelfTimer,SelfTimer2,SensingMethod,SequenceNumber,Sharpness,ShootingMode,ShutterSpeed,ShutterSpeedValue,SlowShutter,SpotMeteringMode,SuperMacro,TargetAperture,TargetExposureTime,ThumbnailImage,ThumbnailImageValidArea,ThumbnailLength,ThumbnailOffset,UserComment,ValidAFPoints,WhiteBalance,XResolution,YCbCrPositioning,YCbCrSubSampling,YResolution,ZoomSourceWidth,ZoomTargetWidth
IMG_4160.JPG,0,Normal AE,48,253,0,0,264,1408,Manual AF point selection,0,5.0,5.0,Off,100,None,200,8,0,200,26 C,Compact,Aperture-priority AE,Firmware Version 1.00,Off,2112,Large,IMG:PowerShot S3 IS JPEG,2816,PowerShot S3 IS,0.005 mm,3,sRGB,"Y, Cb, Cr, -",3,JPEG (old-style),Single,Normal,Camera Local Control,2014:03:23 18:48:45,Normal,Off,2014:03:23 18:48:45,None,1,/Users/david/Desktop/JPG,,Single-frame Shooting,Manual,"Baseline DCT, Huffman coding","Little-endian (Intel, II)",2112,2816,9.04,0220,-2/3,Manual,1/160,2014:07:19 14:01:31+12:00,2014:03:23 18:48:45+13:00,IMG_4160.JPG,102-4160,rw-r--r--,1274 kB,Digital Camera,JPEG,1.00 rev 1.00,"Off, Red-eye reduction",(none),0,0,0,0100,5.0,6.0 mm,6.0 mm (35 mm equivalent: 35.5 mm),inches,12515.55556,5.84 mm,12497.04142,4.39 mm,Zoom,100/mm,Continuous,0 m,3.77 m,Single,Auto,53.8 deg,1.42 m,2112,2816x2112,On,2816,R98 - DCF basic file (sRGB),0100,200,6.0 - 72.0 mm,6.0 - 72.0 mm (35 mm equivalent: 35.5 - 426.1 mm),Unknown 6-72mm,Unknown (-1),11.0,Normal,Canon,n/a,2.7,2.7,72 mm,11.81,Evaluative,image/jpeg,8,6 mm,Canon PowerShot S3 IS,2014:03:23 18:48:45,Off,Off,1,0,Horizontal (normal),,0,Fine,JPEG,2112,2816,inches,Normal,5.9,Standard,Off,0,One-chip color area,0,0,Aperture-priority AE,1/160,1/159,Off,Center,Off,5,1/159,"(Binary data 3062 bytes, use -b option to extract)",0 0 0 0,3062,5120,,1,Auto,180,Centered,YCbCr4:2:2 (2 1),180,2816,2816
IMG_4161.JPG,0,Normal AE,48,253,0,0,264,1408,Manual AF point selection,0,5.0,5.0,Off,100,None,200,8,0,200,27 C,Compact,Aperture-priority AE,Firmware Version 1.00,Off,2112,Large,IMG:PowerShot S3 IS JPEG,2816,PowerShot S3 IS,0.005 mm,3,sRGB,"Y, Cb, Cr, -",3,JPEG (old-style),Single,Normal,Camera Local Control,2014:03:23 18:49:12,Normal,Off,2014:03:23 18:49:12,None,1,/Users/david/Desktop/JPG,,Single-frame Shooting,Manual,"Baseline DCT, Huffman coding","Little-endian (Intel, II)",2112,2816,9.04,0220,-2/3,Manual,1/160,2014:07:19 14:01:31+12:00,2014:03:23 18:49:12+13:00,IMG_4161.JPG,102-4161,rw-r--r--,1346 kB,Digital Camera,JPEG,1.00 rev 1.00,"Off, Red-eye reduction",(none),0,0,0,0100,5.0,6.0 mm,6.0 mm (35 mm equivalent: 35.5 mm),inches,12515.55556,5.84 mm,12497.04142,4.39 mm,Zoom,100/mm,Continuous,0 m,4.08 m,Single,Auto,53.8 deg,1.42 m,2112,2816x2112,On,2816,R98 - DCF basic file (sRGB),0100,200,6.0 - 72.0 mm,6.0 - 72.0 mm (35 mm equivalent: 35.5 - 426.1 mm),Unknown 6-72mm,Unknown (-1),11.0,Normal,Canon,n/a,2.7,2.7,72 mm,11.12,Spot,image/jpeg,8,6 mm,Canon PowerShot S3 IS,2014:03:23 18:49:12,Off,Off,1,0,Horizontal (normal),,0,Fine,JPEG,2112,2816,inches,Normal,5.9,Standard,Off,0,One-chip color area,0,0,Aperture-priority AE,1/160,1/159,Off,Center,Off,5,1/159,"(Binary data 2893 bytes, use -b option to extract)",0 0 0 0,2893,5120,,1,Auto,180,Centered,YCbCr4:2:2 (2 1),180,2816,2816
IMG_4162.JPG,0,Normal AE,48,253,0,0,264,1408,Manual AF point selection,0,5.0,5.0,Off,100,None,200,8,0,200,27 C,Compact,Aperture-priority AE,Firmware Version 1.00,Off,2112,Large,IMG:PowerShot S3 IS JPEG,2816,PowerShot S3 IS,0.005 mm,3,sRGB,"Y, Cb, Cr, -",3,JPEG (old-style),Single,Normal,Camera Local Control,2014:03:23 18:49:27,Normal,Off,2014:03:23 18:49:27,None,1,/Users/david/Desktop/JPG,,Single-frame Shooting,Manual,"Baseline DCT, Huffman coding","Little-endian (Intel, II)",2112,2816,9.04,0220,-2/3,Manual,1/125,2014:07:19 14:01:31+12:00,2014:03:23 18:49:27+13:00,IMG_4162.JPG,102-4162,rw-r--r--,1275 kB,Digital Camera,JPEG,1.00 rev 1.00,"Off, Red-eye reduction",(none),0,0,0,0100,5.0,6.0 mm,6.0 mm (35 mm equivalent: 35.5 mm),inches,12515.55556,5.84 mm,12497.04142,4.39 mm,Zoom,100/mm,Continuous,0 m,2.9 m,Single,Auto,53.8 deg,1.42 m,2112,2816x2112,On,2816,R98 - DCF basic file (sRGB),0100,200,6.0 - 72.0 mm,6.0 - 72.0 mm (35 mm equivalent: 35.5 - 426.1 mm),Unknown 6-72mm,Unknown (-1),10.6,Normal,Canon,n/a,2.7,2.7,72 mm,10.56,Spot,image/jpeg,8,6 mm,Canon PowerShot S3 IS,2014:03:23 18:49:27,Off,Off,1,0,Horizontal (normal),,0,Fine,JPEG,2112,2816,inches,Normal,5.9,Standard,Off,0,One-chip color area,0,0,Aperture-priority AE,1/125,1/125,Off,Center,Off,5,1/125,"(Binary data 3007 bytes, use -b option to extract)",0 0 0 0,3007,5120,,1,Auto,180,Centered,YCbCr4:2:2 (2 1),180,2816,2816
IMG_4163.JPG,0,Normal AE,48,253,0,0,264,1408,Manual AF point selection,0,5.0,5.0,Off,100,None,200,8,0,200,27 C,Compact,Aperture-priority AE,Firmware Version 1.00,Off,2112,Large,IMG:PowerShot S3 IS JPEG,2816,PowerShot S3 IS,0.005 mm,3,sRGB,"Y, Cb, Cr, -",3,JPEG (old-style),Single,Normal,Camera Local Control,2014:03:23 18:49:40,Normal,Off,2014:03:23 18:49:40,None,1,/Users/david/Desktop/JPG,,Single-frame Shooting,Manual,"Baseline DCT, Huffman coding","Little-endian (Intel, II)",2112,2816,9.04,0220,-2/3,Manual,1/100,2014:07:19 14:01:31+12:00,2014:03:23 18:49:40+13:00,IMG_4163.JPG,102-4163,rw-r--r--,1249 kB,Digital Camera,JPEG,1.00 rev 1.00,"Off, Red-eye reduction",(none),0,0,0,0100,5.0,6.0 mm,6.0 mm (35 mm equivalent: 35.5 mm),inches,12515.55556,5.84 mm,12497.04142,4.39 mm,Zoom,100/mm,Continuous,0 m,2.74 m,Single,Auto,53.8 deg,1.42 m,2112,2816x2112,On,2816,R98 - DCF basic file (sRGB),0100,200,6.0 - 72.0 mm,6.0 - 72.0 mm (35 mm equivalent: 35.5 - 426.1 mm),Unknown 6-72mm,Unknown (-1),10.3,Normal,Canon,n/a,2.7,2.7,72 mm,10.28,Spot,image/jpeg,8,6 mm,Canon PowerShot S3 IS,2014:03:23 18:49:40,Off,Off,1,0,Horizontal (normal),,0,Fine,JPEG,2112,2816,inches,Normal,5.9,Standard,Off,0,One-chip color area,0,0,Aperture-priority AE,1/100,1/101,Off,Center,Off,5,1/101,"(Binary data 2956 bytes, use -b option to extract)",0 0 0 0,2956,5120,,1,Auto,180,Centered,YCbCr4:2:2 (2 1),180,2816,2816
IMG_4164.JPG,0,Normal AE,48,253,0,0,264,1408,Manual AF point selection,0,5.0,5.0,Off,100,None,200,8,0,200,27 C,Compact,Aperture-priority AE,Firmware Version 1.00,Off,2112,Large,IMG:PowerShot S3 IS JPEG,2816,PowerShot S3 IS,0.005 mm,3,sRGB,"Y, Cb, Cr, -",3,JPEG (old-style),Single,Normal,Camera Local Control,2014:03:23 18:50:00,Normal,Off,2014:03:23 18:50:00,None,1,/Users/david/Desktop/JPG,,Single-frame Shooting,Manual,"Baseline DCT, Huffman coding","Little-endian (Intel, II)",2112,2816,9.04,0220,-2/3,Manual,1/200,2014:07:19 14:01:31+12:00,2014:03:23 18:50:00+13:00,IMG_4164.JPG,102-4164,rw-r--r--,1315 kB,Digital Camera,JPEG,1.00 rev 1.00,"Off, Red-eye reduction",(none),0,0,0,0100,5.0,6.0 mm,6.0 mm (35 mm equivalent: 35.5 mm),inches,12515.55556,5.84 mm,12497.04142,4.39 mm,Zoom,100/mm,Continuous,0 m,10.34 m,Single,Auto,53.8 deg,1.42 m,2112,2816x2112,On,2816,R98 - DCF basic file (sRGB),0100,200,6.0 - 72.0 mm,6.0 - 72.0 mm (35 mm equivalent: 35.5 - 426.1 mm),Unknown 6-72mm,Unknown (-1),11.3,Normal,Canon,n/a,2.7,2.7,72 mm,11.41,Spot,image/jpeg,8,6 mm,Canon PowerShot S3 IS,2014:03:23 18:50:00,Off,Off,1,0,Horizontal (normal),,0,Fine,JPEG,2112,2816,inches,Normal,5.9,Standard,Off,0,One-chip color area,0,0,Aperture-priority AE,1/200,1/202,Off,Center,Off,5,1/202,"(Binary data 3364 bytes, use -b option to extract)",0 0 0 0,3364,5120,,1,Auto,180,Centered,YCbCr4:2:2 (2 1),180,2816,2816
IMG_4165.JPG,0,Normal AE,48,253,0,0,264,1408,Manual AF point selection,0,5.0,5.0,Off,100,None,200,8,0,200,28 C,Compact,Aperture-priority AE,Firmware Version 1.00,Off,2112,Large,IMG:PowerShot S3 IS JPEG,2816,PowerShot S3 IS,0.005 mm,3,sRGB,"Y, Cb, Cr, -",3,JPEG (old-style),Single,Normal,Camera Local Control,2014:03:23 18:50:17,Normal,Off,2014:03:23 18:50:17,None,1,/Users/david/Desktop/JPG,,Single-frame Shooting,Manual,"Baseline DCT, Huffman coding","Little-endian (Intel, II)",2112,2816,9.04,0220,-2/3,Manual,1/250,2014:07:19 14:01:31+12:00,2014:03:23 18:50:17+13:00,IMG_4165.JPG,102-4165,rw-r--r--,1327 kB,Digital Camera,JPEG,1.00 rev 1.00,"Off, Red-eye reduction",(none),0,0,0,0100,5.0,6.0 mm,6.0 mm (35 mm equivalent: 35.5 mm),inches,12515.55556,5.84 mm,12497.04142,4.39 mm,Zoom,100/mm,Continuous,0 m,4.08 m,Single,Auto,53.8 deg,1.42 m,2112,2816x2112,On,2816,R98 - DCF basic file (sRGB),0100,200,6.0 - 72.0 mm,6.0 - 72.0 mm (35 mm equivalent: 35.5 - 426.1 mm),Unknown 6-72mm,Unknown (-1),11.6,Normal,Canon,n/a,2.7,2.7,72 mm,11.59,Spot,image/jpeg,8,6 mm,Canon PowerShot S3 IS,2014:03:23 18:50:17,Off,Off,1,0,Horizontal (normal),,0,Fine,JPEG,2112,2816,inches,Normal,5.9,Standard,Off,0,One-chip color area,0,0,Aperture-priority AE,1/250,1/251,Off,Center,Off,5,1/251,"(Binary data 3446 bytes, use -b option to extract)",0 0 0 0,3446,5120,,1,Auto,180,Centered,YCbCr4:2:2 (2 1),180,2816,2816
IMG_4166.JPG,0,Normal AE,48,253,0,0,264,1408,Manual AF point selection,(none),5.0,5.0,Off,100,None,200,8,0,200,28 C,Compact,Aperture-priority AE,Firmware Version 1.00,Off,2112,Large,IMG:PowerShot S3 IS JPEG,2816,PowerShot S3 IS,0.005 mm,3,sRGB,"Y, Cb, Cr, -",3,JPEG (old-style),Single,Normal,Camera Local Control,2014:03:23 18:50:57,Normal,Off,2014:03:23 18:50:57,None,1,/Users/david/Desktop/JPG,,Single-frame Shooting,Manual,"Baseline DCT, Huffman coding","Little-endian (Intel, II)",2112,2816,9.04,0220,-2/3,Manual,1/400,2014:07:19 14:01:31+12:00,2014:03:23 18:50:57+13:00,IMG_4166.JPG,102-4166,rw-r--r--,1420 kB,Digital Camera,JPEG,1.00 rev 1.00,"Off, Red-eye reduction",(none),0,0,0,0100,5.0,6.0 mm,6.0 mm (35 mm equivalent: 35.5 mm),inches,12515.55556,5.84 mm,12497.04142,4.39 mm,Zoom,100/mm,Continuous,0 m,4.25 m,Single,Auto,53.8 deg,1.42 m,2112,2816x2112,On,2816,R98 - DCF basic file (sRGB),0100,200,6.0 - 72.0 mm,6.0 - 72.0 mm (35 mm equivalent: 35.5 - 426.1 mm),Unknown 6-72mm,Unknown (-1),12.3,Normal,Canon,n/a,2.7,2.7,72 mm,12.22,Spot,image/jpeg,8,6 mm,Canon PowerShot S3 IS,2014:03:23 18:50:57,Off,Off,1,0,Horizontal (normal),,0,Fine,JPEG,2112,2816,inches,Normal,5.9,Standard,Off,0,One-chip color area,0,0,Aperture-priority AE,1/400,1/403,Off,Center,Off,5,1/403,"(Binary data 3040 bytes, use -b option to extract)",0 0 0 0,3040,5120,,1,Auto,180,Centered,YCbCr4:2:2 (2 1),180,2816,2816
IMG_4167.JPG,0,Normal AE,48,253,0,0,264,1408,Manual AF point selection,0,5.0,5.0,Off,100,None,200,8,0,200,28 C,Compact,Aperture-priority AE,Firmware Version 1.00,Off,2112,Large,IMG:PowerShot S3 IS JPEG,2816,PowerShot S3 IS,0.005 mm,3,sRGB,"Y, Cb, Cr, -",3,JPEG (old-style),Single,Normal,Camera Local Control,2014:03:23 18:51:43,Normal,Off,2014:03:23 18:51:43,None,1,/Users/david/Desktop/JPG,,Single-frame Shooting,Manual,"Baseline DCT, Huffman coding","Little-endian (Intel, II)",2112,2816,9.04,0220,-2/3,Manual,1/250,2014:07:19 14:01:31+12:00,2014:03:23 18:51:43+13:00,IMG_4167.JPG,102-4167,rw-r--r--,1342 kB,Digital Camera,JPEG,1.00 rev 1.00,"Off, Red-eye reduction",(none),0,0,0,0100,5.0,6.0 mm,6.0 mm (35 mm equivalent: 35.5 mm),inches,12515.55556,5.84 mm,12497.04142,4.39 mm,Zoom,100/mm,Continuous,0 m,2.53 m,Single,Auto,53.8 deg,1.42 m,2112,2816x2112,On,2816,R98 - DCF basic file (sRGB),0100,200,6.0 - 72.0 mm,6.0 - 72.0 mm (35 mm equivalent: 35.5 - 426.1 mm),Unknown 6-72mm,Unknown (-1),11.6,Normal,Canon,n/a,2.7,2.7,72 mm,11.88,Spot,image/jpeg,8,6 mm,Canon PowerShot S3 IS,2014:03:23 18:51:43,Off,Off,1,0,Horizontal (normal),,0,Fine,JPEG,2112,2816,inches,Normal,5.9,Standard,Off,0,One-chip color area,0,0,Aperture-priority AE,1/250,1/251,Off,Center,Off,5,1/251,"(Binary data 3082 bytes, use -b option to extract)",0 0 0 0,3082,5120,,1,Auto,180,Centered,YCbCr4:2:2 (2 1),180,2816,2816
IMG_4168.JPG,0,Normal AE,48,253,0,0,264,1408,Manual AF point selection,(none),5.0,5.0,Off,100,None,200,8,0,200,28 C,Compact,Aperture-priority AE,Firmware Version 1.00,Off,2112,Large,IMG:PowerShot S3 IS JPEG,2816,PowerShot S3 IS,0.005 mm,3,sRGB,"Y, Cb, Cr, -",3,JPEG (old-style),Single,Normal,Camera Local Control,2014:03:23 18:51:55,Normal,Off,2014:03:23 18:51:55,None,1,/Users/david/Desktop/JPG,,Single-frame Shooting,Manual,"Baseline DCT, Huffman coding","Little-endian (Intel, II)",2112,2816,9.04,0220,-2/3,Manual,1/250,2014:07:19 14:01:31+12:00,2014:03:23 18:51:55+13:00,IMG_4168.JPG,102-4168,rw-r--r--,1349 kB,Digital Camera,JPEG,1.00 rev 1.00,"Off, Red-eye reduction",(none),0,0,0,0100,5.0,6.0 mm,6.0 mm (35 mm equivalent: 35.5 mm),inches,12515.55556,5.84 mm,12497.04142,4.39 mm,Zoom,100/mm,Continuous,0 m,2.99 m,Single,Auto,53.8 deg,1.42 m,2112,2816x2112,On,2816,R98 - DCF basic file (sRGB),0100,200,6.0 - 72.0 mm,6.0 - 72.0 mm (35 mm equivalent: 35.5 - 426.1 mm),Unknown 6-72mm,Unknown (-1),11.6,Normal,Canon,n/a,2.7,2.7,72 mm,11.56,Spot,image/jpeg,8,6 mm,Canon PowerShot S3 IS,2014:03:23 18:51:55,Off,Off,1,0,Horizontal (normal),,0,Fine,JPEG,2112,2816,inches,Normal,5.9,Standard,Off,0,One-chip color area,0,0,Aperture-priority AE,1/250,1/251,Off,Center,Off,5,1/251,"(Binary data 3035 bytes, use -b option to extract)",0 0 0 0,3035,5120,,1,Auto,180,Centered,YCbCr4:2:2 (2 1),180,2816,2816
IMG_4169.JPG,0,Normal AE,48,253,0,0,264,1408,Manual AF point selection,0,5.0,5.0,Off,100,None,200,8,0,200,28 C,Compact,Aperture-priority AE,Firmware Version 1.00,Off,2112,Large,IMG:PowerShot S3 IS JPEG,2816,PowerShot S3 IS,0.005 mm,3,sRGB,"Y, Cb, Cr, -",3,JPEG (old-style),Single,Normal,Camera Local Control,2014:03:23 18:52:04,Normal,Off,2014:03:23 18:52:04,None,1,/Users/david/Desktop/JPG,,Single-frame Shooting,Manual,"Baseline DCT, Huffman coding","Little-endian (Intel, II)",2112,2816,9.04,0220,-2/3,Manual,1/200,2014:07:19 14:01:31+12:00,2014:03:23 18:52:04+13:00,IMG_4169.JPG,102-4169,rw-r--r--,1391 kB,Digital Camera,JPEG,1.00 rev 1.00,"Off, Red-eye reduction",(none),0,0,0,0100,5.0,6.0 mm,6.0 mm (35 mm equivalent: 35.5 mm),inches,12515.55556,5.84 mm,12497.04142,4.39 mm,Zoom,100/mm,Continuous,0 m,4.25 m,Single,Auto,53.8 deg,1.42 m,2112,2816x2112,On,2816,R98 - DCF basic file (sRGB),0100,200,6.0 - 72.0 mm,6.0 - 72.0 mm (35 mm equivalent: 35.5 - 426.1 mm),Unknown 6-72mm,Unknown (-1),11.3,Normal,Canon,n/a,2.7,2.7,72 mm,11.44,Spot,image/jpeg,8,6 mm,Canon PowerShot S3 IS,2014:03:23 18:52:04,Off,Off,1,0,Horizontal (normal),,0,Fine,JPEG,2112,2816,inches,Normal,5.9,Standard,Off,0,One-chip color area,0,0,Aperture-priority AE,1/200,1/202,Off,Center,Off,5,1/202,"(Binary data 2936 bytes, use -b option to extract)",0 0 0 0,2936,5120,,1,Auto,180,Centered,YCbCr4:2:2 (2 1),180,2816,2816
IMG_4170.JPG,0,Normal AE,48,253,0,0,264,1408,Manual AF point selection,(none),5.0,5.0,Off,100,None,200,8,0,200,29 C,Compact,Aperture-priority AE,Firmware Version 1.00,Off,2112,Large,IMG:PowerShot S3 IS JPEG,2816,PowerShot S3 IS,0.005 mm,3,sRGB,"Y, Cb, Cr, -",3,JPEG (old-style),Single,Normal,Camera Local Control,2014:03:23 18:52:25,Normal,Off,2014:03:23 18:52:25,None,1,/Users/david/Desktop/JPG,,Single-frame Shooting,Manual,"Baseline DCT, Huffman coding","Little-endian (Intel, II)",2112,2816,9.04,0220,-2/3,Manual,1/320,2014:07:19 14:01:31+12:00,2014:03:23 18:52:25+13:00,IMG_4170.JPG,102-4170,rw-r--r--,1354 kB,Digital Camera,JPEG,1.00 rev 1.00,"Off, Red-eye reduction",(none),0,0,0,0100,5.0,6.0 mm,6.0 mm (35 mm equivalent: 35.5 mm),inches,12515.55556,5.84 mm,12497.04142,4.39 mm,Zoom,100/mm,Continuous,0 m,4.25 m,Single,Auto,53.8 deg,1.42 m,2112,2816x2112,On,2816,R98 - DCF basic file (sRGB),0100,200,6.0 - 72.0 mm,6.0 - 72.0 mm (35 mm equivalent: 35.5 - 426.1 mm),Unknown 6-72mm,Unknown (-1),12.0,Normal,Canon,n/a,2.7,2.7,72 mm,12.06,Spot,image/jpeg,8,6 mm,Canon PowerShot S3 IS,2014:03:23 18:52:25,Off,Off,1,0,Horizontal (normal),,0,Fine,JPEG,2112,2816,inches,Normal,5.9,Standard,Off,0,One-chip color area,0,0,Aperture-priority AE,1/320,1/318,Off,Center,Off,5,1/318,"(Binary data 2635 bytes, use -b option to extract)",0 0 0 0,2635,5120,,1,Auto,180,Centered,YCbCr4:2:2 (2 1),180,2816,2816
IMG_4171.JPG,0,Normal AE,48,253,0,0,264,1408,Manual AF point selection,(none),5.0,5.0,Off,100,None,200,8,0,200,29 C,Compact,Aperture-priority AE,Firmware Version 1.00,Off,2112,Large,IMG:PowerShot S3 IS JPEG,2816,PowerShot S3 IS,0.005 mm,3,sRGB,"Y, Cb, Cr, -",3,JPEG (old-style),Single,Normal,Camera Local Control,2014:03:23 18:52:59,Normal,Off,2014:03:23 18:52:59,None,1,/Users/david/Desktop/JPG,,Single-frame Shooting,Manual,"Baseline DCT, Huffman coding","Little-endian (Intel, II)",2112,2816,9.04,0220,-2/3,Manual,1/160,2014:07:19 14:01:32+12:00,2014:03:23 18:52:59+13:00,IMG_4171.JPG,102-4171,rw-r--r--,1680 kB,Digital Camera,JPEG,1.00 rev 1.00,"Off, Red-eye reduction",(none),0,0,0,0100,5.0,72.0 mm,72.0 mm (35 mm equivalent: 426.1 mm),inches,12515.55556,5.84 mm,12497.04142,4.39 mm,Zoom,100/mm,Continuous,0 m,40.12 m,Single,Auto,4.8 deg,204.24 m,2112,2816x2112,On,2816,R98 - DCF basic file (sRGB),0100,200,6.0 - 72.0 mm,6.0 - 72.0 mm (35 mm equivalent: 35.5 - 426.1 mm),Unknown 6-72mm,Unknown (-1),11.0,Normal,Canon,n/a,3.6,3.5,72 mm,11.03,Spot,image/jpeg,8,6 mm,Canon PowerShot S3 IS,2014:03:23 18:52:59,Off,Off,1,128,Horizontal (normal),,0,Fine,JPEG,2112,2816,inches,Normal,5.9,Standard,Off,0,One-chip color area,0,0,Aperture-priority AE,1/160,1/159,Off,Center,Off,5,1/159,"(Binary data 2596 bytes, use -b option to extract)",0 0 0 0,2596,5120,,1,Auto,180,Centered,YCbCr4:2:2 (2 1),180,2816,2816
IMG_4172.JPG,0,Normal AE,48,253,0,0,264,1408,Manual AF point selection,0,5.0,5.0,Off,100,None,200,8,0,200,29 C,Compact,Aperture-priority AE,Firmware Version 1.00,Off,2112,Large,IMG:PowerShot S3 IS JPEG,2816,PowerShot S3 IS,0.005 mm,3,sRGB,"Y, Cb, Cr, -",3,JPEG (old-style),Single,Normal,Camera Local Control,2014:03:23 18:53:08,Normal,Off,2014:03:23 18:53:08,None,1,/Users/david/Desktop/JPG,,Single-frame Shooting,Manual,"Baseline DCT, Huffman coding","Little-endian (Intel, II)",2112,2816,9.04,0220,-2/3,Manual,1/160,2014:07:19 14:01:32+12:00,2014:03:23 18:53:08+13:00,IMG_4172.JPG,102-4172,rw-r--r--,1587 kB,Digital Camera,JPEG,1.00 rev 1.00,"Off, Red-eye reduction",(none),0,0,0,0100,5.0,60.5 mm,60.5 mm (35 mm equivalent: 358.1 mm),inches,12515.55556,5.84 mm,12497.04142,4.39 mm,Zoom,100/mm,Continuous,0 m,65.53 m,Single,Auto,5.8 deg,144.20 m,2112,2816x2112,On,2816,R98 - DCF basic file (sRGB),0100,200,6.0 - 72.0 mm,6.0 - 72.0 mm (35 mm equivalent: 35.5 - 426.1 mm),Unknown 6-72mm,Unknown (-1),11.0,Normal,Canon,n/a,3.6,3.5,72 mm,11.06,Spot,image/jpeg,8,6 mm,Canon PowerShot S3 IS,2014:03:23 18:53:08,Off,Off,1,104,Horizontal (normal),,0,Fine,JPEG,2112,2816,inches,Normal,5.9,Standard,Off,0,One-chip color area,0,0,Aperture-priority AE,1/160,1/159,Off,Center,Off,5,1/159,"(Binary data 2203 bytes, use -b option to extract)",0 0 0 0,2203,5120,,1,Auto,180,Centered,YCbCr4:2:2 (2 1),180,2816,2816
IMG_4173.JPG,0,Normal AE,48,253,0,0,264,1408,Manual AF point selection,0,8.0,8.0,Off,100,None,79,8,0,80,22 C,Compact,Aperture-priority AE,Firmware Version 1.00,Off,2112,Large,IMG:PowerShot S3 IS JPEG,2816,PowerShot S3 IS,0.005 mm,3,sRGB,"Y, Cb, Cr, -",3,JPEG (old-style),Single,Normal,Camera Local Control,2014:03:24 08:07:12,Normal,Off,2014:03:24 08:07:12,None,1,/Users/david/Desktop/JPG,,Single-frame Shooting,Manual,"Baseline DCT, Huffman coding","Little-endian (Intel, II)",2112,2816,9.04,0220,-2/3,Manual,1/320,2014:07:19 14:01:32+12:00,2014:03:24 08:07:12+13:00,IMG_4173.JPG,102-4173,rw-r--r--,1578 kB,Digital Camera,JPEG,1.00 rev 1.00,"Off, Red-eye reduction",(none),0,0,0,0100,8.0,6.0 mm,6.0 mm (35 mm equivalent: 35.5 mm),inches,12515.55556,5.84 mm,12497.04142,4.39 mm,Zoom,100/mm,Continuous,0 m,2.11 m,Single,Auto,53.8 deg,0.89 m,2112,2816x2112,On,2816,R98 - DCF basic file (sRGB),0100,80,6.0 - 72.0 mm,6.0 - 72.0 mm (35 mm equivalent: 35.5 - 426.1 mm),Unknown 6-72mm,Unknown (-1),14.6,Normal,Canon,n/a,2.7,2.7,72 mm,14.78,Evaluative,image/jpeg,8,6 mm,Canon PowerShot S3 IS,2014:03:24 08:07:12,Off,Off,1,0,Horizontal (normal),,0,Fine,JPEG,2112,2816,inches,Normal,5.9,Standard,Off,0,One-chip color area,0,0,Aperture-priority AE,1/320,1/318,Off,Center,Off,8,1/318,"(Binary data 4790 bytes, use -b option to extract)",0 0 0 0,4790,5120,,1,Auto,180,Centered,YCbCr4:2:2 (2 1),180,2816,2816
